"County","Year","Race","EDvisits"
"ventura",2016,"Black",99.3
"yolo",2016,"Black",139.7
"yuba",2016,"Black",183.6
"alameda",2016,"Hispanic",54.3
"alpine",2016,"Hispanic",0
"amador",2016,"Hispanic",65.2
"butte",2016,"Hispanic",24.5
"calaveras",2016,"Hispanic",NA
"colusa",2016,"Hispanic",24.6
"contra costa",2016,"Hispanic",57.7
"del norte",2016,"Hispanic",37.9
"el dorado",2016,"Hispanic",28.5
"fresno",2016,"Hispanic",71.7
"glenn",2016,"Hispanic",38.4
"humboldt",2016,"Hispanic",29.3
"imperial",2016,"Hispanic",66.9
"inyo",2016,"Hispanic",55.9
"kern",2016,"Hispanic",48.4
"kings",2016,"Hispanic",60.9
"lake",2016,"Hispanic",52.4
"lassen",2016,"Hispanic",23.6
"los angeles",2016,"Hispanic",48.8
"madera",2016,"Hispanic",60.4
"marin",2016,"Hispanic",26.9
"mariposa",2016,"Hispanic",NA
"mendocino",2016,"Hispanic",47.8
"merced",2016,"Hispanic",73.2
"modoc",2016,"Hispanic",NA
"mono",2016,"Hispanic",NA
"monterey",2016,"Hispanic",44.3
"napa",2016,"Hispanic",30.8
"nevada",2016,"Hispanic",22.1
"orange",2016,"Hispanic",31.7
"placer",2016,"Hispanic",23.5
"plumas",2016,"Hispanic",NA
"riverside",2016,"Hispanic",33.9
"sacramento",2016,"Hispanic",52.8
"san benito",2016,"Hispanic",50.6
"san bernardino",2016,"Hispanic",43
"san diego",2016,"Hispanic",32.1
"san francisco",2016,"Hispanic",52
"san joaquin",2016,"Hispanic",47.7
"san luis obispo",2016,"Hispanic",37.5
"san mateo",2016,"Hispanic",51.6
"santa barbara",2016,"Hispanic",40.1
"santa clara",2016,"Hispanic",44.6
"santa cruz",2016,"Hispanic",38.1
"shasta",2016,"Hispanic",29.3
"sierra",2016,"Hispanic",NA
"siskiyou",2016,"Hispanic",NA
"solano",2016,"Hispanic",55.2
"sonoma",2016,"Hispanic",35.2
"stanislaus",2016,"Hispanic",45.4
"sutter",2016,"Hispanic",29.7
"tehama",2016,"Hispanic",42.6
"trinity",2016,"Hispanic",NA
"tulare",2016,"Hispanic",29.1
"tuolumne",2016,"Hispanic",28.3
"ventura",2016,"Hispanic",32.9
"yolo",2016,"Hispanic",47.4
"yuba",2016,"Hispanic",23.7
"alameda",2016,"Asian/PI",27
"alpine",2016,"Asian/PI",0
"amador",2016,"Asian/PI",NA
"butte",2016,"Asian/PI",NA
"calaveras",2016,"Asian/PI",NA
"colusa",2016,"Asian/PI",0
"contra costa",2016,"Asian/PI",29.6
"del norte",2016,"Asian/PI",NA
"el dorado",2016,"Asian/PI",30.3
"fresno",2016,"Asian/PI",23.2
"glenn",2016,"Asian/PI",NA
"humboldt",2016,"Asian/PI",46.5
"imperial",2016,"Asian/PI",NA
"inyo",2016,"Asian/PI",0
"kern",2016,"Asian/PI",26.4
"kings",2016,"Asian/PI",27.3
