"site","ozone","month","year","lat","lon"
2249,0.0197346774193548,2,2015,33.92505,-117.95259
2263,0.0256051282051282,2,2015,33.127708,-117.075327
2266,0.0256150729335494,2,2015,34.10015,-117.49198
2312,0.0248029968454259,2,2015,35.345607,-118.851825
2321,0.0279658385093168,2,2015,35.366386,-120.842602
2360,0.0283795275590551,2,2015,34.63782,-120.4575
2368,0.0352282282282282,2,2015,32.952499,-117.263336
2373,0.0204249221183801,2,2015,37.76595,-122.39902
2410,0.0205079563182527,2,2015,38.10251,-122.238
2420,0.0267120385232745,2,2015,34.1992,-118.53275
2460,0.0423399668325041,2,2015,32.84232,-116.76831
2484,0.0238427597955707,2,2015,34.13648,-117.92392
2485,0.0237004830917874,2,2015,34.10367,-117.62906
2494,0.02599092495637,2,2015,34.05109,-118.4564
2499,0.0297084772370487,2,2015,34.24313,-117.2723
2525,0.0231274725274725,2,2015,33.78933,-117.22764
2551,0.026401768488746,2,2015,32.79215,-115.56299
2589,0.0261542288557214,2,2015,32.63123,-117.05905
2593,0.0259822866344605,2,2015,34.60582,-120.07507
2596,0.0231148264984227,2,2015,33.99952,-117.41595
2622,0.02045078125,2,2015,37.9723,-122.52011
2628,0.0249237668161435,2,2015,36.843425,-121.3621
2650,0.0325650897226754,2,2015,34.4165,-117.28559
2655,0.0185922590837283,2,2015,38.31139,-122.2942
2731,0.0183782945736434,2,2015,38.61374,-121.36801
2744,0.0211895638629283,2,2015,39.18919,-121.99887
2752,0.0189097978227061,2,2015,41.72679,-122.63359
2772,0.0257735015772871,2,2015,35.438035,-119.016787
2804,0.0209040372670807,2,2015,38.0063,-121.64191
2829,0.0217206325301205,2,2015,40.55013,-122.38092
2830,0.037116724137931,2,2015,34.42505,-117.58982
2831,0.0206254658385093,2,2015,37.936,-122.0262
2833,0.0185449180327869,2,2015,37.642165,-120.994212
2844,0.0210098039215686,2,2015,36.84157,-119.87449
2849,0.0288163987138264,2,2015,34.14437,-117.85038
2878,0.025628762541806,2,2015,33.708573,-116.215395
2880,0.026948833592535,2,2015,34.276316,-118.683685
2898,0.0215251592356688,2,2015,34.06698,-117.75138
2899,0.0252098546042003,2,2015,34.06653,-118.22676
2914,0.0271561514195584,2,2015,39.033054,-122.921944
2919,0.0353348909657321,2,2015,35.05156,-119.40263
2923,0.0230711947626841,2,2015,34.89405,-117.02471
2937,0.027033786407767,2,2015,33.67458,-117.9256
2943,0.0300153333333333,2,2015,33.67653,-117.33104
2954,0.0294292452830189,2,2015,34.52745,-120.19666
2955,0.0212508607198748,2,2015,35.614668,-120.656912
2956,0.0167642405063291,2,2015,38.74643,-121.26498
2957,0.0276132930513595,2,2015,34.5417,-119.79152
2958,0.0190545031055901,2,2015,39.13868,-121.61884
2965,0.0187732558139535,2,2015,35.491667,-120.668056
2968,0.0164426332288401,2,2015,37.98178,-120.378551
2972,0.0364239482200647,2,2015,40.53996,-121.57646
2977,0.0179830508474576,2,2015,38.30256,-121.42083
2981,0.0206168503937008,2,2015,35.50349,-119.27264
2983,0.0235097744360902,2,2015,36.48329,-121.15682
2984,0.0284880952380952,2,2015,34.210169,-118.870509
2991,0.0258835403726708,2,2015,34.25239,-119.143182
2992,0.0363389261744966,2,2015,34.725342,-120.428716
2993,0.016647507788162,2,2015,38.342606,-120.764426
2996,0.0177065972222222,2,2015,37.48822,-120.83592
3003,0.0326787479406919,2,2015,34.403052,-119.457914
3010,0.0162879499217527,2,2015,39.14566,-123.20298
3011,0.0163085308056872,2,2015,38.56844,-121.49311
3017,0.0306830745341615,2,2015,38.725282,-120.821916
3018,0.0337350299401198,2,2015,37.713136,-119.706235
3022,0.0178454106280193,2,2015,37.28177,-120.43368
3023,0.0364731861198738,2,2015,34.59593,-120.63129
3026,0.0210285714285714,2,2015,36.819313,-119.716389
3032,0.0185739910313901,2,2015,40.45318,-122.29883
3033,0.0235944170771757,2,2015,38.654068,-122.901867
3101,0.0405637795275591,2,2015,34.48976,-120.0469
3121,0.0320207165109034,2,2015,35.05045,-118.14778
3126,0.0420541916167665,2,2015,39.23352,-121.05567
3129,0.0200356506238859,2,2015,36.31572,-119.64323
3135,0.020664,2,2015,32.67618,-115.48307
3144,0.0208758620689655,2,2015,38.20185,-120.680277
3146,0.0206503949447077,2,2015,35.356615,-119.062613
3151,0.0370523952095808,2,2015,36.50881,-116.84767
3152,0.0438710166919575,2,2015,34.06959,-116.38893
3153,0.0254535433070866,2,2015,34.445505,-119.828452
3168,0.0324545746388443,2,2015,33.920767,-116.858413
3172,0.0231758569299553,2,2015,34.448057,-119.231299
3186,0.0252263823064771,2,2015,33.213488,-115.545136
3187,0.0232118902439024,2,2015,38.683293,-121.164442
3198,0.0326223316912972,2,2015,33.21701,-117.39616
3200,0.0222846497764531,2,2015,36.98332,-121.98822
3209,0.0253530701754386,2,2015,38.49444,-121.21115
3211,0.0223287904599659,2,2015,36.86719,-120.01011
3215,0.0267884547069272,2,2015,35.774455,-117.372102
3247,0.0176954898911353,2,2015,37.74306,-122.16994
3249,0.0202631578947368,2,2015,38.66121,-121.73269
3251,0.0295077881619938,2,2015,35.0315,-120.50101
3265,0.0303760802469136,2,2015,33.63005,-117.67588
